0 	  0.347222 
1 	  0.120608 
2 	  0.120477 
3 	  0.120549 
4 	  0.120315 
5 	  0.120462 
6 	  0.120742 
7 	  0.120644 
8 	  0.120809 
9 	  0.120679 
10 	  0.120439 
11 	  0.120394 
12 	  0.120282 
13 	  0.120553 
14 	  0.120330 
15 	  0.120950 
16 	  0.120756 
17 	  0.120731 
18 	  0.120256 
19 	  0.120554 
20 	  0.120164 
21 	  0.120595 
22 	  0.120605 
23 	  0.120540 
24 	  0.120914 
25 	  0.120459 
26 	  0.120616 
27 	  0.120413 
28 	  0.120531 
29 	  0.120248 
30 	  0.120470 
31 	  0.120853 
32 	  0.121011 
33 	  0.120761 
34 	  0.120347 
35 	  0.120628 
36 	  0.120247 
37 	  0.120273 
38 	  0.120671 
39 	  0.120974 
40 	  0.120467 
41 	  0.120624 
42 	  0.120701 
43 	  0.120414 
44 	  0.120703 
45 	  0.120634 
46 	  0.120439 
47 	  0.120608 
48 	  0.120476 
49 	  0.120812 
50 	  0.120410 
51 	  0.120692 
52 	  0.120749 
53 	  0.120422 
54 	  0.120620 
55 	  0.120964 
56 	  0.120588 
57 	  0.120627 
58 	  0.120508 
59 	  0.120482 
