0 	 0.000000 
1 	 0.121393 
2 	 0.120855 
3 	 0.121211 
4 	 0.120813 
5 	 0.121245 
6 	 0.120863 
7 	 0.121102 
8 	 0.121039 
9 	 0.121248 
10 	 0.121192 
11 	 0.120962 
12 	 0.120877 
13 	 0.120727 
14 	 0.120888 
15 	 0.121267 
16 	 0.121142 
17 	 0.121457 
18 	 0.121115 
19 	 0.120936 
20 	 0.121132 
21 	 0.121142 
22 	 0.121456 
23 	 0.121211 
24 	 0.121302 
25 	 0.121376 
26 	 0.121252 
27 	 0.120878 
28 	 0.121153 
29 	 0.120976 
30 	 0.120778 
31 	 0.120860 
32 	 0.121180 
33 	 0.121029 
34 	 0.121294 
35 	 0.121143 
36 	 0.121090 
37 	 0.120947 
38 	 0.120874 
39 	 0.121145 
40 	 0.121063 
41 	 0.121446 
42 	 0.121083 
43 	 0.121113 
44 	 0.120752 
45 	 0.121245 
46 	 0.120895 
47 	 0.121341 
48 	 0.121247 
49 	 0.120749 
50 	 0.121082 
51 	 0.120922 
52 	 0.121039 
53 	 0.120902 
54 	 0.120983 
55 	 0.121272 
56 	 0.121230 
57 	 0.121113 
58 	 0.120786 
59 	 0.121045 
